milhas_por_ano,ano_do_modelo,preco,vendido
9188,2004,18576.43,1
11223,2010,64773.76,0
21195,1998,31250.34,1
18843,2006,46864.83,1
16139,1999,18905.64,1
6421,2005,90767.87,0
12056,2004,92508.98,0
17380,1999,90378.63,0
9945,2006,42569.3,1
16835,2008,62620.45,0
4312,1998,60101.5,1
13129,2004,48978.94,1
28915,2013,69271.08,0
15844,1999,82495.58,0
12962,1999,11979.47,1
9498,2005,77816.76,0
15894,2002,41273.9,1
11118,2008,103459.05,1
12453,2011,73901.01,0
13032,2003,75390.33,0
14120,2010,75457.92,1
13791,2002,75285.5,1
8575,2000,95177.42,1
22968,2004,95676.08,0
17000,2002,45343.51,1
18472,1998,96467.94,0
5735,1998,90684.94,0
12248,2012,43390.38,1
13247,2011,105329.2,0
9619,2011,84517.72,1
10606,1998,61696.4,0
16712,2000,38245.75,1
11738,2005,79957.38,1
8508,2003,91674.9,0
11269,2007,96028.69,0
8872,2015,103326.66,1
9066,2012,107562.56,0
11377,2005,35738.06,1
14474,2005,32582.02,1
13381,2002,26871.75,1
11022,2003,103336.64,1
11193,2004,44303.89,0
14089,1999,58770.23,1
18211,2011,95838.99,0
14542,2003,80921.29,0
14067,2005,94786.28,0
16491,1998,102461.86,1
19852,1999,66761.79,0
9909,2009,95016.78,1
12838,1999,23334.06,1
9424,2010,66311.2,0
10709,2002,20199.69,1
15156,2012,74419.32,0
13732,2012,76829.64,0
7450,2000,72033.52,0
22705,2002,101257.79,1
16234,2012,41923.42,1
10780,2001,16547.2,1
12135,1999,94912.13,0
12268,2013,39284.89,1
11484,2006,58005.41,1
15245,2006,22629.92,1
9399,2012,66930.86,0
20600,1999,40436.0,0
17420,2005,51383.65,1
12522,2009,79893.16,1
9232,1999,72450.5,0
17593,1999,56535.6,1
13054,2001,81437.98,0
15773,2005,66587.22,0
13071,2005,96076.38,0
10193,1998,98132.27,1
14789,2008,99431.8,0
12578,2005,35021.38,1
15076,2004,96253.86,0
14386,1999,84931.89,0
15169,2009,45154.74,1
9336,2004,78835.63,1
10525,1998,58980.31,1
11770,2014,64465.21,1
14115,2005,38315.73,1
6642,2011,90298.67,0
9555,2008,52555.22,0
16119,2000,24441.23,1
13801,2009,107431.11,0
6762,2008,64096.95,0
11849,2013,53669.06,1
19474,2000,60693.34,0
24462,2009,83884.53,0
10766,1999,68563.86,1
16572,2001,82261.92,0
19600,2002,116027.14,1
16277,2004,33361.66,1
11304,2013,40174.67,0
14425,2007,100872.41,0
13889,2004,91729.32,1
7735,2007,37220.88,1
13731,1998,42932.35,1
7653,2012,105354.79,0
24182,2006,70237.57,0
18551,1998,27085.34,1
8082,2004,103986.22,0
18648,1999,53868.23,1
8388,2002,103445.43,0
19636,2004,50956.1,0
11228,2003,41999.23,1
12000,2000,42653.18,1
8840,2004,98138.6,0
25383,2002,77999.11,0
12823,2007,30009.3,1
13733,2008,97198.21,0
12135,2002,46167.55,1
13811,2006,33977.16,1
12200,2013,101201.24,0
10308,2003,24148.18,1
18779,2007,83091.96,0
6970,2006,38810.77,1
12030,1999,64021.74,0
6736,2001,59679.59,1
19236,1998,70260.51,1
21644,1998,33855.29,1
14808,2001,90108.76,1
7749,2015,70021.62,0
12183,2012,88631.4,1
12076,2006,94664.91,0
6546,2007,99968.88,0
6496,2008,50061.13,1
10779,2004,60974.59,1
15667,2000,82931.27,0
17929,1999,39039.59,1
18390,2010,53963.73,1
8379,2002,15305.7,1
8596,2011,45718.37,0
10860,2006,96180.51,1
8724,2007,39007.92,1
24981,1999,88150.84,0
11143,2008,97110.55,1
26091,2006,86931.31,0
12248,2000,24341.89,1
9074,2011,42751.8,1
19545,2003,71739.52,0
6040,2006,65241.32,0
7796,1999,73067.51,1
12084,1998,60570.37,1
10753,2000,64984.26,0
10775,2002,80657.07,1
11071,2003,83781.08,0
25049,2001,23448.52,1
11609,2001,39346.34,1
22207,2006,71532.28,0
27565,2000,70118.54,0
8425,2003,70719.34,1
11259,1998,36936.61,1
11122,2008,95422.54,1
14190,2000,60788.08,0
14122,1998,73153.25,1
14259,1999,72758.98,0
11893,2001,41366.51,1
28868,2013,54764.77,0
11921,2005,62605.17,1
11130,2006,37530.15,1
9755,1998,61726.41,0
11346,2011,67703.88,0
21484,2002,65691.55,0
9761,2008,38234.77,1
27781,2001,97033.21,0
16090,2007,34119.04,1
10899,2002,95342.37,0
18872,2003,65200.08,0
21936,2006,73548.4,0
13432,1999,40769.51,1
27036,2003,48927.78,1
14989,2000,80858.31,0
8315,2003,48885.2,1
20589,2003,35631.97,1
25915,2007,79025.54,0
15216,2007,49590.78,0
8393,2002,24614.46,1
14597,2006,85914.82,0
8809,2013,84192.06,1
13138,2016,110558.98,0
14464,2004,78617.01,0
27585,2001,58933.0,1
13468,2011,45677.29,1
9994,2000,78547.52,1
18208,2001,41605.44,1
8779,1999,30481.01,1
14259,2010,105677.42,1
10178,2004,45817.6,1
20550,2009,96407.65,0
18194,1998,80183.01,0
13564,2015,48616.33,1
9485,2009,58761.47,1
16048,2001,56037.14,1
19812,2001,34621.52,1
13741,2016,108416.34,1
22014,2010,97926.72,0
11869,2010,65811.04,1
10572,2009,50146.34,0
7698,2006,109215.68,1
16572,2001,56158.82,0
22330,2002,25495.31,1
7915,2012,93179.79,1
15093,2008,80301.3,0
9257,2011,80608.35,1
4702,2011,70524.3,1
13957,1998,50307.59,1
13322,2004,52763.86,0
22469,2005,74560.79,0
24880,1999,50272.61,1
10501,2010,48031.11,1
7133,2006,60835.06,0
12392,1998,103001.47,0
19147,1998,44724.71,0
22890,2007,62896.9,0
16634,2012,36757.34,1
10490,2007,99345.47,0
17268,1999,35187.66,1
18098,1999,60494.2,0
17714,2008,32140.32,1
11055,1998,72494.65,0
12988,2010,60963.98,1
17744,2002,29846.95,1
11944,2000,96629.93,0
17102,2000,17099.53,1
13569,2009,91871.81,0
12592,2001,105254.27,1
16587,1999,66800.19,0
17507,2011,71884.55,0
22757,2000,99362.45,1
9832,2003,65502.27,0
15584,2014,61589.68,0
11605,1998,85528.69,1
19196,2003,51048.1,1
9938,2014,89204.35,0
11661,2005,34106.61,1
13282,2003,93591.27,1
8644,1998,42460.74,1
9276,2004,105170.22,1
25101,1998,89394.0,0
14001,2010,81849.27,0
20403,2002,21698.45,1
7293,1999,67026.41,1
18904,2002,58795.57,1
21374,2001,32578.24,1
8745,2012,106744.63,0
13200,2008,50227.03,1
16191,1998,29275.66,1
16680,2013,87249.72,0
26837,1998,60412.78,0
9139,1999,58403.01,1
12570,1998,60611.05,1
9349,2014,51375.39,0
14740,2010,94724.39,1
16478,2008,115907.54,1
17248,1999,108072.15,1
9487,1999,71393.18,1
21920,2000,64356.4,0
12126,2001,65512.96,0
23175,2005,73526.68,0
10615,2000,86962.43,1
10307,2009,75308.4,1
13175,2002,77450.66,0
16801,2001,87133.58,0
7608,2007,72921.91,0
24152,2011,54881.34,1
15938,2005,51414.06,1
19269,2005,73995.74,0
17855,1998,58540.97,0
15972,2007,92527.23,0
7150,2001,67457.71,0
28770,1999,42270.45,1
6621,2014,66502.41,0
7388,2005,76128.49,0
18208,2000,48176.44,1
8715,2006,99855.89,0
6411,2012,32988.68,1
15357,2004,95672.85,0
7946,2001,40562.78,1
8944,2010,89447.12,1
22048,2009,101020.51,1
19395,2000,61876.6,0
10008,1999,10523.62,1
9332,1999,50350.21,1
8801,2003,71042.66,1
21686,2008,89330.23,1
17697,2002,38275.15,1
13099,2006,56944.59,0
9671,2003,71172.51,0
8388,2004,21425.97,1
13615,1999,33195.17,1
14785,2002,80133.35,1
19801,2007,95451.76,0
11053,2005,75429.15,0
18855,2006,73828.87,0
7854,2009,53441.7,0
19274,2004,87397.7,0
19761,1998,40425.74,1
13337,2004,59712.76,1
8492,2003,53620.03,1
14911,2005,69926.45,0
14116,2008,99947.31,1
17583,2001,71901.77,0
17566,2011,75606.69,0
16998,2001,100109.51,1
10875,2005,54470.12,1
23439,2002,55234.23,0
8864,1999,16100.55,1
18979,2002,27837.75,1
14510,2005,92347.47,1
8566,2006,51786.94,1
11479,2006,88147.2,1
13015,2002,48748.05,1
12209,1998,82718.96,1
10763,2002,47725.66,1
6876,1999,96824.04,1
27768,2008,70160.04,0
12286,2002,106663.84,1
9143,1998,12679.47,1
16970,2011,53256.53,0
23958,2006,75329.62,0
14024,2004,42410.77,1
9231,2000,48904.71,0
20437,2011,38707.38,1
11995,2001,87000.67,1
11124,2006,55680.57,0
19622,2000,31682.9,1
19200,2008,59919.38,1
7738,2005,98076.26,1
14303,2006,97051.88,0
22886,2000,31384.59,1
10463,2000,100902.05,1
13489,2007,52934.42,1
15092,2003,78931.13,0
10644,1998,82494.0,1
13558,1998,52238.42,1
12670,2002,53840.35,1
14937,2009,35711.03,1
14114,2007,81582.81,0
12902,2000,83509.77,1
11111,1999,32167.57,1
9539,2011,114609.66,1
11911,2000,54940.25,0
8181,1999,100368.11,1
17686,2009,48481.31,0
6300,1999,68456.86,0
20743,2009,81234.8,0
9544,1999,27338.23,1
21031,2011,83224.59,0
20947,1998,16021.54,1
13572,2001,110580.13,0
17392,2010,80300.46,0
18251,2013,103801.19,0
12051,2004,55874.91,1
13795,1998,46315.44,0
15680,2003,75938.53,0
15790,2008,55401.34,1
5778,2005,65761.48,0
6720,1999,27817.54,1
8645,1999,19850.82,1
19972,2014,95755.37,0
11680,2010,40400.53,1
16728,2004,110690.57,1
17981,2001,27716.48,1
20345,2004,70343.39,0
7683,2008,98412.88,0
23892,2001,80541.59,0
13454,2007,96096.25,0
19931,2001,77244.26,0
13606,2006,68299.71,0
10602,2005,111244.38,0
8723,2005,90401.7,1
11286,2005,26955.05,1
18123,2009,60646.51,0
11304,2003,83964.09,1
9863,2000,84740.57,0
11888,2000,70549.92,0
9470,2006,55664.61,1
9924,1999,40858.27,1
17260,2002,37208.98,1
12367,1998,106805.75,1
12447,2002,85981.58,1
13318,2007,90746.74,0
24522,2007,25530.37,1
12454,1998,42114.38,1
22558,2002,62955.76,0
16866,2010,62601.2,0
9805,1999,14413.13,1
15253,2012,57965.53,1
12166,2006,63861.1,1
18022,1998,32423.59,1
16831,2000,43559.2,1
12756,2008,104052.72,1
5674,2002,68838.93,1
16968,2004,85783.86,0
14292,1999,88167.15,0
14155,2005,42538.65,1
10878,1998,97880.4,0
13925,2000,62681.06,0
8243,1998,52926.99,1
12735,2003,67329.21,1
7950,2005,20846.59,1
16873,1999,58939.63,1
7855,2012,88674.81,0
15729,2007,49765.05,1
14510,2002,41307.46,1
9902,2008,45362.91,1
12297,2000,50057.74,1
9078,2002,44310.77,1
23919,2002,51853.51,1
16180,2007,65149.93,0
20297,2004,85506.78,0
19970,1999,71596.17,0
9993,2005,55055.51,1
15449,2014,49025.81,1
15049,2002,60821.74,0
23117,2004,81831.6,0
11762,2009,82521.32,1
15785,2013,78328.58,0
18980,1999,31185.41,1
9319,2005,61411.58,0
16810,2004,66153.58,0
14943,2003,55137.78,1
20909,2004,50513.62,0
21530,2003,35149.84,1
17415,2003,83297.56,0
7603,2004,93908.17,0
13727,2008,104612.09,1
11752,2000,55070.37,0
12624,2012,82861.88,0
15197,2000,41954.96,1
14051,2002,106143.54,1
12356,2001,96169.66,0
15173,2002,51913.4,0
8069,2002,59815.67,1
14894,1998,90189.83,0
16270,2004,86648.92,0
17866,1998,25472.09,1
12780,1999,23477.18,1
15578,2006,88926.53,0
11862,2005,47535.86,0
13175,2000,52835.52,1
23038,2006,60396.79,0
15055,2009,47491.72,1
8507,1998,55869.47,0
6420,2010,44250.73,1
15322,1998,27710.15,1
16914,2008,114701.35,0
19354,2003,56185.73,1
17259,2003,52716.99,1
10214,2001,30496.76,1
26432,2000,30686.29,1
9792,2003,55129.13,0
15392,2010,29643.29,1
12324,2003,68762.98,0
10902,2012,82962.29,1
13750,1999,16907.72,1
11946,2002,30812.73,1
15604,2013,46181.5,1
8947,2007,54531.19,0
8338,1998,96511.12,0
23369,2005,57887.84,1
22626,2006,63543.24,0
15808,2000,45855.28,1
12739,2010,77605.68,1
9960,2000,17118.01,1
5496,1999,96670.08,1
9758,2005,43224.35,1
12470,1999,60916.85,1
11160,2000,64801.02,0
16915,2006,52450.74,1
8196,2003,60177.16,0
17064,2006,100429.64,1
18282,1998,69907.81,1
15008,2003,58367.72,0
15921,2006,92028.22,0
19222,2002,21990.03,1
13097,2004,67815.16,0
5767,2007,107739.84,0
13338,2001,34201.64,1
15872,2012,77844.32,0
20543,2001,29576.99,1
16502,2005,53445.79,1
24680,1998,63403.84,0
23613,2009,45854.85,0
10363,2007,37776.96,1
13920,2008,114977.51,1
9939,1998,94770.54,0
10208,2007,39677.04,1
16604,2005,68765.21,0
13961,2010,60557.45,1
12600,2002,52459.5,1
15912,2002,101767.23,0
19755,1998,45658.62,1
13704,2000,97645.54,0
7740,2002,79332.74,0
19644,2000,71344.99,0
20122,2000,96267.37,0
14178,2012,97742.8,1
12228,1998,71730.69,0
14938,2000,92118.45,0
8277,2007,86895.79,0
10600,2003,80811.89,1
14146,2007,60301.19,0
8851,2002,72823.12,0
11151,2000,64421.22,1
17193,2005,97257.56,0
17746,2003,86046.63,0
11667,2004,66538.26,0
20444,2014,55775.43,0
11994,2008,75998.38,0
10123,2013,41081.74,0
19103,2005,59857.03,1
37394,2013,64190.79,0
10598,2007,73410.03,0
11670,2009,99430.17,1
14150,2003,50957.91,1
19311,2003,84360.9,0
16091,2008,93693.78,0
18190,2007,50087.6,1
23919,2005,44378.87,1
17909,2003,95736.89,0
12224,2002,25309.79,1
15262,2004,89301.89,0
20494,2000,37872.08,1
13973,2010,32015.55,1
7797,2000,53270.42,0
11816,2009,35354.08,1
23553,2007,102614.05,1
11942,2000,60686.91,1
16926,2002,32230.06,1
11492,2003,28056.3,1
13450,2012,80387.31,0
16092,1998,90394.28,0
14230,2003,78238.12,1
9639,2000,20636.39,1
6385,2009,62340.6,1
13482,2005,91123.54,0
13174,2001,16043.96,1
15866,2007,51197.87,1
11871,2006,74060.87,0
17635,1999,32222.66,1
18466,2006,26129.87,1
17828,2001,88099.83,0
10984,2002,81441.14,1
9645,2006,69025.81,1
9133,2000,43005.66,1
6657,2007,72457.14,0
11007,2015,61418.1,0
15890,2008,95856.58,1
9722,2001,47468.8,1
7707,2000,57628.09,1
11963,1999,67773.9,0
17522,2002,27983.28,1
11530,1999,30048.86,1
10507,2001,69954.14,1
13286,1999,68798.47,0
9277,2011,96111.84,1
16971,1999,98987.32,0
21516,1999,93424.64,0
10159,2001,51221.41,1
5893,2005,50693.66,0
16974,2000,60867.55,0
11403,2000,33329.29,1
11887,1999,86023.79,1
21135,2003,38155.67,1
19074,2002,72108.55,0
14619,2003,87508.53,0
9574,2007,101103.66,1
14989,2005,71912.15,1
19407,2007,75682.44,0
9601,2008,49830.26,1
14428,2010,96731.56,0
18280,2002,80440.24,0
13058,2006,62700.93,0
13939,2000,75160.29,1
20014,2006,104705.85,1
10707,2003,90899.86,1
25794,2000,103643.22,0
12837,1999,89084.24,1
13030,2003,88657.86,0
19950,2011,61331.48,0
16192,2001,41625.0,0
14881,1998,30430.91,1
14776,2003,79290.13,1
12744,2012,108974.78,0
13013,2011,105346.4,0
17064,2005,25477.08,1
11450,2007,91190.27,0
10365,2012,65653.57,1
5977,2006,93325.37,0
14652,1999,90110.38,0
23824,2011,86579.53,0
15625,1999,43509.27,0
12123,2000,43966.31,1
12239,2000,38979.54,1
12921,2001,58125.86,1
39226,1998,42052.8,0
8228,2005,73584.98,1
12987,2008,48287.26,1
8270,1999,67867.53,0
19064,2006,68562.61,0
22539,2011,80135.94,0
18105,2001,82571.99,0
15291,2005,58997.33,0
21951,2003,86868.2,0
19103,2016,92393.34,0
13961,1998,82078.97,0
12351,2002,51097.21,1
8052,2001,76746.96,0
15889,2010,31126.22,1
8402,2001,87421.77,1
5945,2004,54789.0,1
26910,2007,47870.87,1
9795,2006,77192.03,1
17583,2000,60215.14,0
10462,2005,38926.9,1
20068,2008,77690.95,0
18722,2012,42749.08,1
21496,2002,37562.77,1
15881,2003,25479.97,1
14753,1998,84121.67,1
13194,2006,96223.45,1
12804,2007,52092.5,1
11706,2012,53350.22,1
12489,1998,43823.16,1
17617,2001,92956.75,0
363,2003,85323.93,0
15572,2001,68765.44,0
5058,1998,48849.12,0
13006,2016,76616.81,0
8283,2000,39044.74,1
10803,1998,39937.5,1
11467,2010,70756.45,1
7061,2011,65982.96,1
15228,2013,73918.08,0
12968,2000,47279.05,0
13809,2000,35508.95,1
6424,2005,71871.52,1
8448,2000,18234.99,1
12992,2003,93710.17,1
6552,2002,27831.26,1
8777,1998,41566.03,1
20462,2010,72281.71,0
8480,2001,58031.32,1
17176,2001,63153.7,0
16105,1999,61992.78,0
20410,2003,60826.02,0
9057,2000,78971.4,0
7281,2012,80857.98,0
19218,2003,41841.71,1
19190,1998,74738.67,0
16277,2003,37754.27,1
12244,1999,48880.96,1
11567,2013,111232.69,1
17867,2006,43522.35,1
15359,2008,89175.83,0
17836,2010,84895.96,0
8797,2005,31159.1,1
14914,2000,33671.6,1
10179,2006,75378.47,0
12906,2006,52821.78,0
9242,1999,97969.32,1
10685,2006,82130.68,0
11101,2007,69938.01,1
25337,1998,60151.71,0
12532,2002,90791.51,0
23931,2011,69216.95,0
16078,1999,51786.56,1
22354,2000,85492.67,0
17237,1998,78506.26,0
9491,2008,44195.14,0
11012,2011,83396.53,0
17270,2005,97387.88,0
18218,2000,11849.57,1
19443,2000,65749.97,0
13904,2002,57209.28,0
18151,2002,22733.76,1
12650,2005,68274.8,0
18188,2010,50935.23,0
13185,2002,83821.74,1
10665,2013,76443.36,1
13594,2008,94356.13,1
15316,2001,20653.47,1
20339,1998,44063.92,1
18711,2010,74128.76,1
13559,1998,18239.6,1
13653,2002,42592.0,1
15942,2007,93973.19,0
10138,1998,13019.74,1
17808,2008,80643.48,0
6638,1998,47153.12,1
12036,2001,61161.66,0
19957,1998,11053.79,1
11781,1998,21895.94,1
10937,2000,80450.28,0
13584,1999,87141.84,0
7153,2004,50261.76,1
17220,2006,91365.12,0
11802,2000,96716.21,1
6943,1999,46222.38,1
13202,2004,93889.4,1
13992,2001,58691.22,0
8860,2007,97824.01,0
10870,2008,85152.64,0
27028,2002,45171.94,1
8479,2005,43950.05,0
8248,1999,31848.92,1
13212,2005,47803.95,0
11013,1998,91780.26,0
7835,2008,81355.74,1
9752,2003,77585.11,0
9472,2014,61947.0,0
15465,2005,64948.91,0
14284,2016,87487.93,0
13146,2005,48875.07,0
13005,1998,16354.14,1
16136,2002,59443.2,0
10007,2004,49207.48,1
10333,2012,71282.48,1
11986,1998,18887.11,1
12348,2009,37244.93,1
23626,2006,66905.3,0
18076,2005,50313.96,0
12061,2010,82721.7,1
18689,2009,105926.86,1
11402,2000,66987.51,1
22204,2016,70302.9,0
14319,2006,69005.74,1
11917,1999,76833.14,0
10795,2002,75393.38,0
8978,2003,47033.03,1
16460,2008,111319.48,1
23367,2006,109509.96,0
17560,2005,58570.17,1
9088,2002,80390.26,0
14845,1999,29982.33,1
18333,2015,49528.74,1
11192,2010,96402.43,0
9045,1998,27616.01,1
7584,1999,55931.97,1
9439,2013,111263.35,1
16436,2013,101415.11,1
13803,2001,59464.51,1
20915,2007,73355.27,0
15654,2008,45748.06,1
31071,2003,83686.13,0
20578,2002,58200.34,1
11360,2016,45010.88,1
7458,1999,47584.23,1
12772,2006,109009.54,1
13015,1998,99045.26,0
17942,2009,29868.87,1
16889,1998,83735.84,0
11259,2006,92916.94,0
11321,2004,68956.22,1
10154,2011,57027.85,1
15923,1998,47064.3,1
6535,2015,69811.07,0
12305,2002,48412.88,0
14301,1998,43033.47,1
8737,2003,16599.03,1
17801,1999,86069.22,0
19809,2002,42491.27,1
18143,2008,78235.69,0
19376,2004,97741.64,0
8806,2000,86830.79,1
5837,2004,83896.38,1
7997,2000,40088.17,1
15296,2007,81708.98,0
8217,2005,22289.87,1
8375,1998,64637.98,0
12150,1999,78807.86,1
22582,2006,62887.42,0
20440,2003,80445.86,0
15427,2006,65019.81,0
16970,2000,58790.46,1
16026,2000,86150.41,0
12754,2000,9293.94,1
13075,1998,65290.11,1
13535,2001,85602.03,0
15084,2007,47500.47,1
18276,2007,39371.14,1
17744,2009,89442.04,0
14595,2008,71977.33,0
16288,2001,90437.61,0
13386,1999,87274.13,1
25878,2006,66781.04,0
15644,2001,28969.82,1
23598,2001,70733.72,0
9663,1999,44224.36,1
7275,2016,86577.51,0
13565,2004,58802.03,1
13663,1999,25487.71,1
11252,2008,86716.05,1
21990,2001,80774.07,0
17866,2011,97830.91,0
13735,1999,36007.16,1
19491,2005,79193.58,0
10298,2002,33276.52,1
13521,2004,40890.38,1
13661,2002,83537.38,0
15539,1999,95702.51,0
17786,2005,68048.91,0
6674,1999,98997.7,0
15567,1999,32612.92,1
14256,2010,77546.13,0
17201,1998,56317.72,1
9826,1998,27282.65,1
16791,2008,55897.76,0
16539,2014,109411.39,0
19808,2005,24570.35,1
9876,2003,90319.67,1
10412,1998,39623.16,1
12580,1999,101462.86,1
19999,2012,90201.92,1
17117,2001,74199.69,0
9361,2005,35655.12,1
8179,2003,83046.1,0
7938,2006,92798.09,1
14152,2017,108172.3,1
16288,2005,89275.96,0
19980,2003,47098.18,1
22170,2007,68341.83,0
8864,2000,67102.04,0
13013,2001,74605.62,0
12550,2001,63034.22,1
12765,2006,92265.13,0
18221,2001,48439.62,0
19846,2002,34519.9,1
12668,2000,16465.29,1
9427,2009,25203.52,1
10820,2007,76870.85,0
12590,2011,96976.24,0
12722,2002,58494.81,1
12644,2005,42059.07,1
22475,2006,83687.69,0
10623,1998,78917.4,1
12184,1999,57166.83,1
13361,2014,69991.35,0
23623,2004,55854.88,0
12809,2008,32300.81,1
10615,2011,90582.0,1
14525,2011,44307.55,1
5888,2007,95932.04,0
14945,2003,89718.57,1
5625,2006,67155.02,0
12930,2008,39834.33,1
10342,2002,111667.86,1
8741,2005,74488.52,0
23676,2003,53082.76,0
10015,1998,53241.97,0
27865,2010,51258.26,1
11378,1999,23224.9,1
13416,2012,60247.18,1
21371,2012,47526.35,0
9435,2000,93855.84,1
13317,2002,108208.52,0
19102,2007,103034.32,1
21274,2000,89397.22,1
17894,2008,94265.92,0
16381,2001,69841.93,0
28383,2007,58362.96,1
11108,1998,60808.2,1
11070,2009,109228.42,1
8099,2011,49220.32,0
9620,2005,47678.75,1
15431,1999,71376.62,0
15264,2006,30603.41,1
15027,2004,45297.62,1
9789,1999,28143.69,1
9265,2008,24023.83,1
9984,2006,100720.95,1
16899,2008,77894.24,0
14971,2000,33657.3,1
20882,2009,81841.77,0
12049,2014,60055.7,0
10612,2009,66399.68,1
16175,2000,76778.44,0
10812,2008,113106.14,0
24393,2004,51777.6,1
17416,2014,98483.88,0
9094,1998,60188.5,1
12656,2001,42276.11,0
17336,1998,74108.33,0
16802,2002,97417.17,0
8668,2013,110591.17,0
9183,2001,42187.07,0
8050,1998,8686.57,1
13476,2006,40554.56,1
14156,1998,10548.56,1
19508,2007,59623.13,0
17506,2005,41681.49,1
7699,2003,56038.41,1
11297,2000,35681.76,1
7397,1998,61663.32,1
10080,2003,97004.52,0
8041,2003,63546.9,0
18269,2002,75596.63,0
11784,1999,99656.87,0
12983,2004,35677.38,1
10996,2007,43915.0,1
20580,2009,96230.76,0
15452,1998,106145.48,0
8123,1998,100400.57,0
11317,2009,102967.9,0
14854,2005,35686.44,1
13276,2002,70628.8,1
21482,1999,75515.34,0
21961,1999,64837.1,0
11862,2001,27515.9,1
15645,1999,70650.39,0
10008,1998,87193.28,0
23361,1998,96358.8,0
10523,1998,101704.75,0
13229,2004,95819.37,0
12551,2002,54242.76,1
13947,2011,85269.92,0
13391,2002,100759.3,1
11960,2000,103527.2,1
7939,1998,94273.58,0
9879,2011,79243.13,1
19815,2002,81901.23,0
9459,2005,35434.16,1
8111,1999,78597.04,0
19679,2005,54894.8,1
27190,2015,81065.04,0
10668,2001,84230.59,0
22011,1999,21423.47,1
21242,2008,42573.35,1
22652,1999,62793.49,0
9952,2011,44969.24,1
16402,1999,63318.05,0
10682,2002,49478.36,1
15927,2010,61203.45,0
12619,2006,20508.03,1
12018,2017,57967.01,1
7653,2011,99433.39,1
10942,1999,56370.46,1
18881,2004,34440.02,1
9483,2008,54917.82,1
8526,2005,90130.0,0
9678,2014,115291.4,1
10344,2002,57450.78,1
18116,2001,51998.31,1
16319,2000,58128.46,1
11409,2013,91693.16,1
9421,2008,87758.07,1
8598,2010,49967.6,0
15309,2007,105056.21,1
14992,2002,35622.05,1
8265,2014,36205.68,1
12153,1999,53026.4,1
10535,2008,80506.81,0
16190,2003,39939.68,1
13493,2011,73863.92,0
18830,2004,37250.03,1
18697,1999,113671.21,0
14927,1999,55863.48,1
16691,2011,91661.99,0
23095,2005,77130.93,0
28357,1998,74653.07,0
11194,2004,102847.16,1
13022,2005,22140.09,1
23976,2004,89742.22,0
12364,2012,75379.56,1
16227,2008,70158.7,0
23549,2011,103514.79,1
31268,2008,27119.1,1
10512,1999,63750.99,0
14432,2000,84316.15,1
8038,2013,75288.51,0
13454,2007,49788.68,1
8385,2005,80719.44,0
11174,2010,95186.14,0
7815,1999,77413.32,0
7351,2003,38694.33,1
10530,2008,48601.49,1
7260,2006,42258.54,1
17358,2015,107207.43,0
13876,2004,46513.75,1
11540,2003,86456.42,0
14160,2004,65633.67,0
16162,2003,79544.84,0
20670,2008,53038.34,0
13276,2006,106620.66,1
31500,2015,109300.14,0
15795,1999,67166.99,0
22331,2002,25112.04,1
18524,2001,63001.45,0
10086,2004,48404.02,1
18221,2014,33218.96,1
14599,2001,103206.91,1
17767,1999,41760.71,1
6050,2009,75099.59,0
14736,2004,40506.47,1
19741,2001,92130.53,0
